identifier,VIP
Cer d36:1 Isomer A,1.19936346388461
1.84_759.50,1.19916191040462
2.87_630.54,1.19899387617281
4.64_371.31,1.19885012978664
4.34_130.16,1.1986820671031
2.23_750.54,1.19857251068656
4.02_666.68,1.19769316667764
2.10_780.59,1.19733941572017
2.24_615.61,1.19708835251417
2.15_720.58,1.19679097602715
4.82_435.31,1.19676597565612
TG 56:6|TG 18:0_18:1_20:5,1.19649899367985
TG 56:7 Isomer B ,1.19646109587744
PC 44:10,1.19635730068241
2.64_683.50,1.19618813383353
TG 56:3|TG 18:1_18:1_20:1,1.19613075889528
4.84_193.19,1.19602889817556
4.51_666.68,1.19564080599121
1.55_818.53,1.19461458182302
PC 44:8,1.19458849036931
PC P-40:5 or PC O-40:6 ,1.19442782444635
PC 42:8 Isomer A,1.19274758107556
0.22_346.19,1.19253803474637
1.92_748.49,1.19249535282272
TG 52:5 ,1.19230149070336
3.74_930.85,1.1904300265914
2.04_812.53,1.19041124489298
1.39_435.32,1.19006156064567
2.28_685.43,1.18717727174457
3.58_940.83,1.18684502141991
4.78_296.24,1.18668694927967
4.57_520.41,1.18649684643796
Cer d37:1 ,1.18628956246552
PC O-38:7|PC O-17:4_21:3,1.18591963064766
4.81_167.15,1.18586079044339
0.27_462.32,1.18569382676893
1.65_832.55,1.1852957868196
TG 54:5|TG 18:1_18:2_18:2,1.18387755127561
3.79_666.68,1.18195619250369
PC P-42:5 or PC O-42:6,1.18186354546834
4.26_376.22,1.18118235777676
2.79_679.51,1.18090540380686
4-METHYL-2-OXO-PENTANOIC ACID ,1.18051705998975
4.50_209.20,1.18007797327705
4.66_472.42,1.17932348416588
2.90_624.63,1.17884914807327
PE O-40:8 ,1.17872003777446
2.28_721.51,1.17853173882146
4.24_663.45,1.17827376760543
1.99_719.47,1.17736205517145
SM d33:1 ,1.17726664709588
MGDG 34:3 ,1.17643541796431
3.72_942.85,1.17597354109381
2.09_687.54,1.17582895114215
4.05_974.91,1.17518138948258
0.85_437.29,1.17504444732539
3.99_904.82,1.17444839360186
4.59_446.32,1.17387235633357
4.78_448.32,1.17375562011511
1.97_732.52,1.17349712699544
PC 36:3 Isomer A ,1.17274383321196
2.09_737.54,1.17198460576327
PC 38:4 Isomer B ,1.17167578309686
PC 16:0_14:0 ,1.17134219489509
2.00_747.52,1.17059890321758
2.10_802.55,1.17013443954882
1.42_571.43,1.17000745534674
4.54_358.20,1.16997288787318
2.22_794.61,1.16851183322907
PC 40:10|PC 20:5_20:5,1.16842839569813
1.89_830.57,1.16800268434487
TG 50:2,1.16784333484468
1.80_747.50,1.16686166413069
2.33_679.47,1.16560663176267
1.87_1560.11,1.16518275711538
2.23_1500.09,1.16512430696556
TG 56:2 Isomer B ,1.16468987406095
4.49_358.21,1.1643941045682
PC 38:3 Isomer A,1.16367047295887
1.39_478.39,1.16342937469993
4.79_394.24,1.16335741080138
2.28_722.52,1.16321948850382
2.17_794.53,1.16267618475349
PC P-36:3 or PC O-36:4 ,1.16254086053907
0.15_152.05,1.16239383769372
0.29_306.29,1.16168007485999
2.26_856.56,1.16163700415876
1.73_890.55,1.16154954533084
0.42_538.46,1.16147618100987
Cer 57:4;O2|Cer 19:1;O2/38:3,1.16068616028129
0.80_437.25,1.16026731648888
2.37_742.58,1.16024455836873
1.81_493.41,1.1593425644176
2.90_713.72,1.15861481696083
2.31_858.58,1.1580930869304
2.28_750.56,1.15722094681977
0.21_148.10,1.15653211755687
1.70_548.47,1.15589015091186
4.58_466.28,1.15586915560233
1.39_492.41,1.1557505666958
0.80_461.29,1.15568183444709
PC 37:1,1.15562001729277
2.33_808.62,1.15438715403783
2.28_764.58,1.1542755886541
3.98_903.82,1.15413389538437
3.58_666.69,1.15374324137342
1.92_1550.02,1.15339414151722
TG 54:5 Isomer A ,1.15317578880545
2.37_568.56,1.15303451478192
TG O-55:7|TG O-19:5_17:0_19:2,1.15131848360011
Phosphatidylethanolamine alkenyl 16:0-20:4 ,1.15090041336956
TG 50:0 ,1.15076848406029
1.94_1592.06,1.15070836706195
2.77_652.66,1.15016537601946
0.19_179.00,1.14979463486606
2.40_834.63,1.14931634200359
1.88_923.51,1.14835995398821
1.65_776.23,1.14796961821702
2.14_776.52,1.14703774865554
4.77_460.33,1.14635471861813
0.22_312.20,1.14616483047085
4.58_394.23,1.14525332551949
1.85_1231.74,1.14505082452018
1.69_883.54,1.14470646890166
2.23_1554.16,1.14464439533045
1.92_492.40,1.1446381008468
PMeOH 38:6|PMeOH 18:1_20:5,1.14410051346014
1.99_840.53,1.14367923300886
2.22_816.59,1.14328862886686
2.39_846.61,1.14307052402309
PC O-34:2 ,1.14282590695415
PE 40:6|PE 18:1_22:5,1.14123040032672
2.09_739.53,1.14025906122478
2.21_638.61,1.14020198276595
2.30_848.63,1.14004268379476
2.06_789.53,1.13932878841449
0.19_177.14,1.13873962225503
2.23_1576.16,1.13814734323187
PC 34:5|PC 14:0_20:5,1.13716309083695
1.97_820.58,1.13705462135715
2.36_748.67,1.13642315931562
4.24_537.53,1.13613599655967
0.20_257.14,1.13501761881727
2.06_721.47,1.1349773712079
1.98_842.53,1.13492324642422
PMeOH 16:0_18:1 ,1.13463890825325
3.46_666.69,1.13459775560658
2.07_899.56,1.134307734803
0.85_413.25,1.1341570910346
2.37_649.46,1.13410724794593
1.99_744.55,1.13227923377973
PC 38:6 Isomer A ,1.13098115347796
PC P-40:4 or PC O-40:5 ,1.12969552026277
2.28_707.49,1.12934713486657
2.58_562.55,1.12869998473258
4.47_448.32,1.12709497909778
4.73_562.40,1.12675183941647
4.82_340.39,1.12661276743418
2.61_702.54,1.12658170355898
2.07_848.58,1.12623841966067
1.26_551.33,1.12477720696136
2.47_675.47,1.12426723847784
SM d32:1 Isomer B,1.12404285562356
1.39_450.36,1.12318440198185
Gal-Gal-Cer d18:1/16:0 or Lactosylceramide d18:1/16:0 ,1.12278046738868
3.70_904.83,1.12267028001478
2.22_770.58,1.12220523882253
PC P-38:5 or PC O-38:6 Isomer A ,1.12139086519563
PC 38:4 Isomer C ,1.12068702207051
2.04_771.57,1.11950717121253
1.80_833.57,1.11938151729762
4.67_446.32,1.11912392742863
2.90_636.66,1.11825455704115
PC O-40:9|PC O-18:4_22:5,1.11799564592729
1.88_824.59,1.11789710600178
4.65_448.31,1.11786692652755
1.82_742.54,1.1172761509896
4.64_520.41,1.1171813468238
2.28_736.54,1.1169880551445
PC 37:5 ,1.11678368022319
2.68_608.62,1.11640179288386
0.65_341.35,1.11588987124476
2.04_755.57,1.11582636032113
2.31_823.63,1.11431178344379
1.79_936.58,1.11425163449351
0.19_205.10,1.11407164962927
1.91_478.38,1.11353486066087
3.69_666.68,1.11345799485282
LNAPE 20:4_N-19:1 ,1.11301162644199
3.74_872.77,1.11287172068865
FA 20:5 (eicosapentaenoic acid) ,1.11255420718397
3.87_1010.92,1.1118505888604
PC 38:6 Isomer B,1.11022901181733
4.68_432.31,1.10947642515603
2.44_848.65,1.10924788377318
CAR 20:4,1.10880106342887
3.95_884.77,1.10795277052946
1.39_464.38,1.1072898920834
2.54_569.43,1.10705101040153
4.85_413.27,1.10700742036752
PC P-40:7 or PC O-40:8 ,1.10676734018236
SM 37:4;3O ,1.10648777771071
LPE O-18:2 ,1.10550405392141
2.36_830.53,1.10460810073608
1.82_625.52,1.10407425528883
4.72_446.32,1.10371729559044
1.71_886.51,1.10304617690258
PE O-36:4 Isomer B,1.10286077279333
2.24_629.63,1.10269172337237
4.77_520.42,1.10240148039911
1.99_620.56,1.10203547311455
2.28_777.58,1.10146440843099
2.53_609.60,1.10141375824517
PC 35:2,1.10137219317113
TG 56:4|TG 18:1_20:1_18:2,1.10114950963194
3.84_918.86,1.10097564116204
LPC 20:0 ,1.10087540054694
2.24_854.63,1.10004993529979
PC 43:10 Isomer A,1.09961312959495
2.00_818.56,1.09910787326274
1.82_850.25,1.09899286423335
4.80_520.41,1.09834131074926
2.11_850.59,1.09828024871593
Cer d36:2 ,1.09728613744467
1.91_733.52,1.09691537155734
2.28_827.60,1.09594464058159
1.84_659.51,1.09536889674063
2.46_854.58,1.09368170847657
1.84_709.51,1.09339244565398
2.36_622.54,1.09278821606523
PC 39:5 Isomer A,1.09264245704806
PE O-38:7 ,1.09245394867761
