lipid	identifier	PubChem.CID	Chemical.Name	INCHIKEY
PC 34:1 Isomer A	2.24_760.59_2.24_782.57	5497103	1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL-VYOBOKEXSA-N
PC 34:1 Isomer B	2.38_818.59	6436017	1-Palmitoyl-2-oleoylphosphatidylcholine	WTJKGGKOPKCXLL-MRCUWXFGSA-N
PC 34:2 Isomer A	2.04_758.57	5287971	Lecithin	JLPULHDHAOZNQI-ZTIMHPMXSA-N
PC 34:2 Isomer B	2.16_816.58	5287971	Lecithin	JLPULHDHAOZNQI-ZTIMHPMXSA-N
PC 34:3 	1.98_814.57	24778699	PC(16:0/18:3(6Z,9Z,12Z))	CNNSEHUKQJCGTE-UPPWDXJYSA-N
PC 34:3 Isomer B 	1.89_756.56	52923213	PC(20:3(8Z,11Z,14Z)/14:0)	VKVSSDKCKXJFIM-AFYHZPHLSA-N
PC 34:4 Isomer A	1.80_754.54	52922891	PC(18:4(6Z,9Z,12Z,15Z)/16:0)	YWDDIWXKFJEMKF-JTZVLWBESA-N
PC 34:4 Isomer B 	1.90_812.54	52922891	PC(18:4(6Z,9Z,12Z,15Z)/16:0)	YWDDIWXKFJEMKF-JTZVLWBESA-N
PC 35:1 Isomer A	2.33_774.60	52922679	1-(9Z-octadecenoyl)-2-heptadecanoyl-glycero-3-phosphocholine	MFHIZGSSDZJFKD-IYEJTHTFSA-N
PC 35:1 Isomer B	2.48_832.61	52922679	1-(9Z-octadecenoyl)-2-heptadecanoyl-glycero-3-phosphocholine	MFHIZGSSDZJFKD-IYEJTHTFSA-N
PC 35:2 	2.29_830.59	52922491	1-heptadecanoyl-2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphocholine	ZSKWZJYUVZYDQU-WESJWMGVSA-N
PC 35:2 Isomer B 	2.14_772.59	52922721	1-(9Z,12Z-octadecadienoyl)-2-heptadecanoyl-glycero-3-phosphocholine	MJWAVUYQCBFFHQ-WESJWMGVSA-N
PC 35:3 	1.97_770.57	52924614	PE(20:3(8Z,11Z,14Z)/18:0)	AYXGHIQPMDYMJC-AHMBLZLYSA-N
PC 35:4 Isomer A	1.91_768.56	52922204	1-tridecanoyl-2-(7Z,10Z,13Z,16Z-docosatetraenoyl)-glycero-3-phosphocholine	OROZWUJCDDCYAU-IPUAOQJZSA-N
PC 35:4 Isomer B	2.03_826.56	52922895	1-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-2-heptadecanoyl-glycero-3-phosphocholine	LYNZMLHNPYEREG-ZHMZGHMTSA-N
PC 36:1 Isomer A	2.47_788.62	24778825	1-Stearoyl-2-oleoyl-sn-glycero-3-phosphocholine	ATHVAWFAEPLPPQ-VRDBWYNSSA-N
PC 36:1 Isomer B	2.62_846.62	24778825	1-Stearoyl-2-oleoyl-sn-glycero-3-phosphocholine	ATHVAWFAEPLPPQ-VRDBWYNSSA-N
PC 36:2 Isomer A	2.25_786.60	10350317	PC(18:1/18:1)	SNKAWJBJQDLSFF-NVKMUCNASA-N
PC 36:2 Isomer B	2.40_844.61	10350317	PC(18:1/18:1)	SNKAWJBJQDLSFF-NVKMUCNASA-N
