Lipid,identifier,lipid,Ion.species,INCHIKEY
495,2.08_743.60,SM 29:2;2O/8:0 ,[M+H]+,XCWVCMIJMLUUFH-NOWNJZKOSA-N
497,2.10_739.57,SM 35:1;2O ,[M+Na]+,NZVSGOQOFUVMHA-QOSDPKFLSA-N
499,1.88_755.56,SM 37:4;3O ,[M+H]+,QFCPIEOQTPOOTG-BIQXSSBLSA-N
503,2.31_809.62,SM 41:4;O2,[M+H]+,RHYSATSRWWXZCK-UHFFFAOYSA-N
505,2.35_817.59,SM 42:8;O2,[M+H]+,MKGAEKLQDPHZOP-UHFFFAOYSA-N
506,2.43_835.64,SM 43:6;O2,[M+H]+,VZNHWRBHBFCCRZ-UHFFFAOYSA-N
519,2.10_717.59,SM d35:1 ,[M+H]+,LDJGVBCPOLCJJN-DQRAZIAOSA-N
522,2.23_731.61,SM d36:1 Isomer A,[M+H]+,LKQLRGMMMAHREN-YJFXYUILSA-N
524,1.98_729.59_1.97_751.57,SM d36:2 Isomer A,[M+H]+_[M+Na]+,NBEADXWAAWCCDG-QDDWGVBQSA-N
525,2.08_787.60,SM d36:2 Isomer B,[M+Hac-H]-,SVZHNUJIDJZSFP-UHFFFAOYSA-N
530,2.33_815.63,SM d38:2 Isomer B,[M+Hac-H]- ,MDRFMTLYKHBJTF-NQYLGBTJSA-N
531,2.47_829.64,SM d39:2 ,[M+Hac-H]-,SDUGEKJCGFHJRC-IYXZHQORSA-N
532,2.58_843.66,SM d40:2 Isomer B ,[M+Hac-H]-,VBFKEZGCUWHGSK-ADSSWVSQSA-N
564,3.85_895.72,TG 52:3 ,[M+K]+,DQXQIWIQYYEGLG-MMWLGPPDSA-N
574,3.43_880.72,TG 53:7,[M+NH4]+,JFSALBNUDIAEFO-UHFFFAOYSA-N
