InChIKey,Chemical Name,PubChem CID
QIBZFHLFHCIUOT-NPBIGWJUSA-N,1-Palmitoyl-2-palmitoleoyl-sn-glycero-3-phosphocholine,6443788
QIBZFHLFHCIUOT-ZPHPHTNESA-N,1-Palmitoyl-2-palmitoleoylphosphatidylcholine,6443090
GPWHCUUIQMGELX-VHQDNGOZSA-N,"1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine",24778764
QZMGRDCRMQJRBR-UHFFFAOYSA-N,,
FHENRYRLCPXONH-LDLOPFEMSA-N,1-Octadecanoyl-2-pentadecanoyl-glycero-3-phosphocholine,52922645
OFRWLQSOUIZELQ-VEAYGOGPSA-N,1-(9Z-hexadecenoyl)-2-heptadecanoyl-glycero-3-phosphocholine,52922442
GXTATYLPYLLNLV-MGIDVFSBSA-N,1-pentadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphocholine,24778662
SBNDHGBVMZMSNL-UESLNCBNSA-N,"1-(9Z,12Z-octadecadienoyl)-2-pentadecanoyl-glycero-3-phosphocholine",52922715
LINQPZCEZRTEOY-UHFFFAOYSA-N,,
VZVZQQCSQMEVAN-UHFFFAOYSA-N,,
RNLAHSGFLLQJSH-UHFFFAOYSA-N,,
PZNPLUBHRSSFHT-RRHRGVEJSA-N,1-Hexadecanoyl-2-octadecanoyl-sn-glycero-3-phosphocholine,24778686
WTJKGGKOPKCXLL-VYOBOKEXSA-N,1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine,5497103
WTJKGGKOPKCXLL-MRCUWXFGSA-N,1-Palmitoyl-2-oleoylphosphatidylcholine,6436017
JLPULHDHAOZNQI-ZTIMHPMXSA-N,Lecithin,5287971
CNNSEHUKQJCGTE-UPPWDXJYSA-N,"PC(16:0/18:3(6Z,9Z,12Z))",24778699
VKVSSDKCKXJFIM-AFYHZPHLSA-N,"PC(20:3(8Z,11Z,14Z)/14:0)",52923213
YWDDIWXKFJEMKF-JTZVLWBESA-N,"PC(18:4(6Z,9Z,12Z,15Z)/16:0)",52922891
ZPUCIFKHJMJFJR-UHFFFAOYSA-N,,
WCNDCUHEAPXSRE-UHFFFAOYSA-N,,
MFHIZGSSDZJFKD-IYEJTHTFSA-N,1-(9Z-octadecenoyl)-2-heptadecanoyl-glycero-3-phosphocholine,52922679
QHSSPICKLMYIHE-UHFFFAOYSA-N,,
ZSKWZJYUVZYDQU-WESJWMGVSA-N,"1-heptadecanoyl-2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphocholine",52922491
MJWAVUYQCBFFHQ-WESJWMGVSA-N,"1-(9Z,12Z-octadecadienoyl)-2-heptadecanoyl-glycero-3-phosphocholine",52922721
CCWBLPGHMXYSEO-UHFFFAOYSA-N,,
AYXGHIQPMDYMJC-AHMBLZLYSA-N,"PE(20:3(8Z,11Z,14Z)/18:0)",52924614
OROZWUJCDDCYAU-IPUAOQJZSA-N,"1-tridecanoyl-2-(7Z,10Z,13Z,16Z-docosatetraenoyl)-glycero-3-phosphocholine",52922204
LYNZMLHNPYEREG-ZHMZGHMTSA-N,"1-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-2-heptadecanoyl-glycero-3-phosphocholine",52922895
VMVWXMVXFZDVRX-UHFFFAOYSA-N,,
VYAMSJNJNPMAKM-UHFFFAOYSA-N,,
ATHVAWFAEPLPPQ-VRDBWYNSSA-N,1-Stearoyl-2-oleoyl-sn-glycero-3-phosphocholine,24778825
ANCOIGUVGMVZMF-UHFFFAOYSA-N,,
SNKAWJBJQDLSFF-NVKMUCNASA-N,PC(18:1/18:1),10350317
BXRLDROZWDUSGM-ZRYFCQOPSA-N,"PC(18:1(9Z)/18:2(6Z,9Z))",24778937
YPAZQMWFRMHBBM-CLKMJQEKSA-N,"PC(18:2(9Z,12Z)/18:1(11Z))",53478785
NKQPOVROGSWLTO-NVPMBMBWSA-N,"PC(18:3(6Z,9Z,12Z)/18:1(9Z))",52922783
IIZPXYDJLKNOIY-JXPKJXOSSA-N,Phosphatidylcholine(16:0/20:4w6),10747814
SUZYROYNFNQALJ-MHEIZRSESA-N,"PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)",52923341
DYDDZDMJSQYFGN-OIVUZXIWSA-N,"PC(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))",24778771
SUZYROYNFNQALJ-MHEIZRSESA-N,"PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)",52923341
SPWBDEZMKCRQSX-NGPPOSSDSA-N,"PC(18:3(9Z,12Z,15Z)/18:3(6Z,9Z,12Z))",52922847
FJZPGDCOKAUAQA-UHFFFAOYSA-N,,
MCZUABDVGPPWPM-HJTCUGKVSA-N,"1-(9Z,12Z-octadecadienoyl)-2-nonadecanoyl-glycero-3-phosphocholine",52922735
OOYQEEUUQRMQKL-JUUDQZDJSA-N,"1-(9Z,12Z,15Z-octadecatrienoyl)-2-nonadecanoyl-glycero-3-phosphocholine",52922851
QRPUCJXFPYFTMB-FBFLODOBSA-N,"1-(9Z,12Z,15Z-octadecatrienoyl)-2-(9Z-nonadecenoyl)-glycero-3-phosphocholine",52922853
GEINPYKZLFHHIL-GlcXMCQTSA-N,,
GQIULIXPAHRSNV-UHFFFAOYSA-N,,
HTOXDSJJLQRKAN-UHFFFAOYSA-N,,
BVCUNKXTUMEPTF-UHFFFAOYSA-N,,
KXXLFCAPKGRXBT-FMJYHZMHSA-N,"1-eicosanoyl-2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphocholine",24779263
ZQLPLCXRBVPKGP-UHFFFAOYSA-N,,
KNNHXKQRTYEWCA-HYYWERRFSA-N,"PC(20:2(11Z,14Z)/18:1(11Z))",53478919
LLUINWFQEIMZRU-UHFFFAOYSA-N,,
PSVRFUPOQYJOOZ-QNPWAGBNSA-N,"[(2R)-2-[(5Z,8Z,11Z,14Z)-1-oxoeicosa-5,8,11,14-tetraenoxy]-3-(1-oxooctadecoxy)propyl] 2-(trimethylammonio)ethyl phosphate",16219824
HUAVKOMRGUBYMK-UHFFFAOYSA-N,,
TWXNOZDNXVHOLP-UHFFFAOYSA-N,,
SUACBSWYGWBPFC-GPUJSUHJSA-N,"PC(20:3(8Z,11Z,14Z)/18:2(9Z,12Z))",52923235
YLWBKBDNHWQEFU-YJXJLLHLSA-N,"PC(20:4(5Z,8Z,11Z,14Z)/18:1(11Z))",53479033
PLZBTDKJYHXIEW-DZUXOTHRSA-N,"PC(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z))",52923295
RUHBZJXWUDKAMZ-XXAGCNFXSA-N,"PC(18:2(9Z,12Z)/20:4(8Z,11Z,14Z,17Z))",53478789
BNNUJTATKJXKJP-XCDHYEIISA-N,"PC(20:4(8Z,11Z,14Z,17Z)/18:3(6Z,9Z,12Z))",53479075
GQTMDGAVIYVIDL-RVTNGMKESA-N,"[2-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoyl]oxy-3-[(9Z,12Z)-hexadeca-9,12-dienoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",138163135
FVTVIYPLHMTBGA-UHFFFAOYSA-N,,
LGGLGFSWJITMHS-MJJBRJPASA-N,"[2-[(14Z,17Z,20Z,23Z)-hexacosa-14,17,20,23-tetraenoyl]oxy-3-[(Z)-tridec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",138201638
IMIBYYUIZPCHBJ-UHFFFAOYSA-N,,
QMCWOGICYCFNBF-BWHZRABLSA-N,"1-(9Z,12Z-heptadecadienoyl)-2-(7Z,10Z,13Z,16Z-docosatetraenoyl)-glycero-3-phosphocholine",52922637
BWMGYQAIDPQZGJ-UHFFFAOYSA-N,,
UQCDOWUBGDHSMU-UHFFFAOYSA-N,,
HFQOHFIVVRPSHG-UHFFFAOYSA-N,,
WAIHGVAZVKEQGR-UHFFFAOYSA-N,,
JYFWSVLYQSTYHE-XEAUMUMLSA-N,"[3-docosanoyloxy-2-[(9Z,12Z,15Z)-octadeca-9,12,15-trienoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",25244692
AAYOXXRTLLISDA-UHFFFAOYSA-N,,
FHUAYOMRHXZKHT-JUGJLYODSA-N,"1-(13Z-docosenoyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine",53479183
QQIYXJBHMDYXHH-NMUBDWGHSA-N,"PC(22:2(13Z,16Z)/18:2(9Z,12Z))",52923573
IJTJDJOOHZVSAC-NDRUHXFFSA-N,"PC(20:4(8Z,11Z,14Z,17Z)/20:1(11Z))",53479083
LJFKFKIYUJNFPZ-ZLFSCUDPSA-N,"PC(20:1(11Z)/20:4(5Z,8Z,11Z,14Z))",52923133
KZSXWBSDQDXESU-PPEVQBTRSA-N,"PC(22:2(13Z,16Z)/18:4(6Z,9Z,12Z,15Z))",52923579
TYRTWVKQVGNGSZ-RGBTVBCDSA-N,"PC(20:2(11Z,14Z)/20:4(5Z,8Z,11Z,14Z))",52923195
