"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"PC(P-18:1(9Z)/20:2(11Z,14Z))","PC(P-18:1(9Z)/20:2(11Z,14Z))","HMDB0011316","53480815",NA,"CCCCCCCC\C=C/CCCCCC\C=C/OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC","1"
"PC(P-18:0/20:4(8Z,11Z,14Z,17Z))","PC(P-18:0/20:4(8Z,11Z,14Z,17Z))","HMDB0011254","53480715",NA,"CCCCCCCCCCCCCCCC\C=C/OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC","1"
"PC(P-18:1(11Z)/20:3(5Z,8Z,11Z))","PC(P-18:1(11Z)/20:3(5Z,8Z,11Z))","HMDB0011284","53480759",NA,"CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC(CO\C=C/CCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"PC(P-18:1(11Z)/20:3(8Z,11Z,14Z))","PC(P-18:1(11Z)/20:3(8Z,11Z,14Z))","HMDB0011285","53480761",NA,"CCCCCC\C=C/CCCCCCCC\C=C/OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC","1"
"PC(20:4(8Z,11Z,14Z,17Z)/P-18:1(9Z))","PC(20:4(8Z,11Z,14Z,17Z)/P-18:1(9Z))","HMDB0008491","53479121","C00157","CCCCCCCC\C=C/CCCCCC\C=C/OC(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"PC(P-16:0/22:5(4Z,7Z,10Z,13Z,16Z))","PC(P-16:0/22:5(4Z,7Z,10Z,13Z,16Z))","HMDB0011227","53480695",NA,"CCCCCCCCCCCCCC\C=C/OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"PC(P-20:0/20:4(5Z,8Z,11Z,14Z))","PC(P-20:0/20:4(5Z,8Z,11Z,14Z))",NA,"52924022",NA,"CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O(CO/C=C\CCCCCCCCCCCCCCCCCC)COP(=O)()OCC(C)(C)C","1"
"PC(P-18:1(11Z)/22:4(7Z,10Z,13Z,16Z))","PC(P-18:1(11Z)/22:4(7Z,10Z,13Z,16Z))","HMDB0011292","53480775",NA,"CCCCCC\C=C/CCCCCCCC\C=C/OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/P-18:1(9Z))","PC(22:5(7Z,10Z,13Z,16Z,19Z)/P-18:1(9Z))","HMDB0008721","53479405","C00157","CCCCCCCC\C=C/CCCCCC\C=C/OC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0)","PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0)","HMDB0008752","53479425","C00157","CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"PC(P-18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PC(P-18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0011328","53480839",NA,"CCCCCCCC\C=C/CCCCCC\C=C/OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC","1"
"PC(o-22:3(10Z,13Z,16Z)/22:3(10Z,13Z,16Z))","PC(O-22:3(10Z,13Z,16Z)/22:3(10Z,13Z,16Z))","HMDB0013457","53481769",NA,"CCCCC\C=C/C\C=C/C\C=C/CCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC","1"
"PC(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PC(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0011262","42607430",NA,"CCCCCCCCCCCCCCCC\C=C/OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC","1"
"Phosphatidylethanolamine 16:1-18:1","NA","NA","NA","NA","NA","0"
"Dioleoyl phosphatidylethanolamine","NA","NA","NA","NA","NA","0"
"[1-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-3-hexadecanoyloxypropan-2-yl] icosa-5,8,11,14,17-pentaenoate","NA","NA","NA","NA","NA","0"
"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-octadec-9-enoyl]oxypropan-2-yl] (Z)-icos-11-enoate","NA","NA","NA","NA","NA","0"
"2-ammonioethyl [(2R)-2-[(5Z,8Z,11Z,14Z)-1-oxoeicosa-5,8,11,14-tetraenoxy]-3-(1-oxooctadecoxy)propyl] phosphate","NA","NA","NA","NA","NA","0"
"[1-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-3-octadecanoyloxypropan-2-yl] icosa-8,11,14,17-tetraenoate","NA","NA","NA","NA","NA","0"
"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-octadec-9-enoyl]oxypropan-2-yl] (8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoate","NA","NA","NA","NA","NA","0"
"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-hexadecanoyloxypropan-2-yl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate","NA","NA","NA","NA","NA","0"
"[3-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-2-icosa-5,8,11,14,17-pentaenoyloxypropyl] icosa-5,8,11,14,17-pentaenoate","NA","NA","NA","NA","NA","0"
"[1-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-3-octadec-9-enoyloxypropan-2-yl] docosa-7,10,13,16,19-pentaenoate","NA","NA","NA","NA","NA","0"
"[1-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-3-octadec-9-enoyloxypropan-2-yl] docosa-4,7,10,13,16,19-hexaenoate","NA","NA","NA","NA","NA","0"
"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-hexadec-9-enoxy]propan-2-yl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate","NA","NA","NA","NA","NA","0"
"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-octadec-9-enoxy]propan-2-yl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate","NA","NA","NA","NA","NA","0"
"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(9Z,12Z)-octadeca-9,12-dienoxy]propan-2-yl] (9Z,12Z)-octadeca-9,12-dienoate","NA","NA","NA","NA","NA","0"
"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(9Z,12Z)-octadeca-9,12-dienoxy]propan-2-yl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate","NA","NA","NA","NA","NA","0"
"Phosphatidylethanolamine alkenyl 16:0-22:6","NA","NA","NA","NA","NA","0"
"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-octadecoxypropan-2-yl] (9Z,12Z,15Z)-octadeca-9,12,15-trienoate","NA","NA","NA","NA","NA","0"
"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-tetradecoxypropan-2-yl] (13Z,16Z)-tetracosa-13,16-dienoate","NA","NA","NA","NA","NA","0"
"Phosphatidylethanolamine alkenyl 18:0-20:5","NA","NA","NA","NA","NA","0"
"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(9Z,12Z,15Z)-octadeca-9,12,15-trienoxy]propan-2-yl] (8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoate","NA","NA","NA","NA","NA","0"
"Phosphatidylethanolamine alkenyl 18:0-22:4","NA","NA","NA","NA","NA","0"
"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-octadec-9-enoxy]propan-2-yl] (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate","NA","NA","NA","NA","NA","0"
"PE(P-18:1(11Z)/18:3(6Z,9Z,12Z))","PE(P-18:1(11Z)/18:3(6Z,9Z,12Z))","HMDB0011410","53480870",NA,"[H][C@@](CO\C=C/CCCCCCCC\C=C/CCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC","1"
"PE(P-16:0/20:5(5Z,8Z,11Z,14Z,17Z))","PE(P-16:0/20:5(5Z,8Z,11Z,14Z,17Z))","HMDB0011354","52925061",NA,"[H][C@@](CO\C=C/CCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC","1"
